First Last,First,Last,Company,Domain
Marc Alringer,Marc,Alringer,Seamgen,www.seamgen.com
Stephen Blum,Stephen,Blum,"PubNub, Inc.",www.pubnub.com
Bill Nordwall,Bill,Nordwall,Foundry Interactive,www.foundryinteractive.com
George Demet,George,Demet,"Palantir.Net, Inc",www.palantir.net
Brad Williams,Brad,Williams,"WebDevStudios, LLC",www.webdevstudios.com
Heidi Trow,Heidi,Trow,"Webconsuls, LLC",www.webconsuls.com
Karla Deann Santi,Karla,Santi,Blend Interactive,www.blendinteractive.com
Brent Hartmann,Brent,Hartmann,Bitcookie,www.bitcookie.com
Christopher Steins,Christopher,Steins,"Urban Insight, Inc",www.urbaninsight.com
Susan Mccrossin,Susan,Mccrossin,Boomtown Internet Group,www.boomtownig.com
Sam Anthony,Sam,Anthony,TheSiteEdge,www.thesiteedge.com
Tim Green,Tim,Green,TikiLIVE Inc,www.tikilive.com
Vasily Malyshev,Vasily,Malyshev,Messapps,www.messapps.com
Miloslava Trginova,Miloslava,Trginova,BellaDati,www.belladati.com
Gustavo Waizbrot,Gustavo,Waizbrot,One Rockwell,www.onerockwell.com
Peter Kang,Peter,Kang,Barrel,www.barrelny.com
Jesse Nickles,Jesse,Nickles,LittleBizzy,www.littlebizzy.com
Shawn Peterson,Shawn,Peterson,"Tempest Technologies, Llc",www.tempesttech.com
Atul Kumar,Atul,Kumar,"Team International Services, Inc",www.teaminternational.com
Mayank Agrawal,,,DotcomWeavers,www.dotcomweavers.com
